"Color Name","Description","Time Stamp","L","A","B","L","C","H","X","Y","Z","R","G","B","HEX","C","M","Y","K","ACES-R","ACES-G","ACES-B","ACEScg-R","ACEScg-G","ACEScg-B","Lin.sRGB-R","Lin.sRGB-G","Lin.sRGB-B"
"ye","ye","2018-10-19 21:22:13","37.99","0.16","2.87","37.99","2.87","86.74","9.74","10.08","7.58","131","37","1","#5B5955","61%","54%","58%","30%","0.1007","0.0999","0.0918","0.1028","0.1006","0.0918","0.1051","0.1004","0.0904",
""
"App Version","2.6.0"
"Folder Name","ye"
"Illuminant","D50"
"Observer","2"
